id,timestamp,description,category,amount,type
3,2025-01-01 09:20:25,Medical Consultation,Other,-395.18,expense
1,2025-01-01 09:46:39,Rent Payment,Rent,-13039.51,expense
2,2025-01-01 16:21:05,Street Food,Food,-63.15,expense
4,2025-01-01 20:13:23,Restaurant Dinner,Food,-439.55,expense
7,2025-01-02 10:42:11,Petrol Station,Travel,-1145.04,expense
6,2025-01-02 13:47:50,Restaurant Dinner,Food,-403.41,expense
5,2025-01-02 17:29:33,Netflix Subscription,Entertainment,-649,expense
9,2025-01-03 14:39:00,Bus Pass,Travel,-104.16,expense
11,2025-01-03 19:34:25,Restaurant Dinner,Food,-287.42,expense
8,2025-01-03 20:43:52,Cashback Refund,Other,92.12,income
10,2025-01-03 22:12:57,Ola Cab,Travel,-217.36,expense
13,2025-01-04 16:26:07,Movie Tickets,Entertainment,-284.21,expense
14,2025-01-04 18:11:26,Lunch Canteen,Food,-129.91,expense
12,2025-01-04 18:22:44,Amazon Prime,Entertainment,-299,expense
15,2025-01-05 14:07:54,Metro Card Recharge,Travel,-207.36,expense
16,2025-01-05 21:32:18,Stationery Shop,Shopping,-184.89,expense
20,2025-01-06 11:46:19,Bakery,Food,-103.53,expense
18,2025-01-06 17:11:56,Ola Cab,Travel,-206.67,expense
17,2025-01-06 19:13:24,Cashback Refund,Other,512.93,income
19,2025-01-06 22:49:28,Restaurant Dinner,Food,-171.56,expense
24,2025-01-07 09:42:52,Juice Bar,Food,-66.3,expense
21,2025-01-07 15:18:28,Street Food,Food,-35.62,expense
22,2025-01-07 19:04:32,Cafe Coffee,Food,-43.81,expense
23,2025-01-07 22:34:08,Uber Ride,Travel,-84.85,expense
25,2025-01-08 18:18:24,Spotify Premium,Entertainment,-119,expense
26,2025-01-08 18:22:00,Petrol Station,Travel,-1586.08,expense
28,2025-01-09 15:00:07,Bakery,Food,-95.3,expense
27,2025-01-09 20:47:48,Zomato Delivery,Food,-166.84,expense
32,2025-01-10 10:02:03,Lunch Canteen,Food,-71.46,expense
30,2025-01-10 13:32:50,Hotel Booking,Travel,-2675.34,expense
29,2025-01-10 16:34:12,Electricity Bill,Bills,-800.92,expense
31,2025-01-10 18:47:01,Bus Pass,Travel,-123.84,expense
35,2025-01-11 09:55:54,Metro Card Recharge,Travel,-367.88,expense
34,2025-01-11 13:16:29,Movie Tickets,Entertainment,-256.36,expense
33,2025-01-11 18:48:06,Books Purchase,Other,-139.64,expense
36,2025-01-12 19:13:17,Sports Event Ticket,Entertainment,-470.97,expense
37,2025-01-12 22:11:52,Petrol Station,Travel,-1170.07,expense
40,2025-01-13 08:41:46,Metro Card Recharge,Travel,-200.93,expense
39,2025-01-13 16:00:07,Haircut Salon,Other,-294.9,expense
38,2025-01-13 23:10:04,Books Purchase,Other,-162.08,expense
42,2025-01-14 09:02:03,Juice Bar,Food,-80.87,expense
44,2025-01-14 18:51:12,Petrol Station,Travel,-1736.74,expense
41,2025-01-14 19:40:00,Cashback Refund,Other,433.93,income
43,2025-01-14 22:10:53,Metro Card Recharge,Travel,-272.17,expense
48,2025-01-15 06:48:32,Swiggy Order,Food,-285.45,expense
45,2025-01-15 12:31:10,Internet Bill,Bills,-691.15,expense
46,2025-01-15 14:41:52,Haircut Salon,Other,-138.67,expense
47,2025-01-15 21:46:08,Haircut Salon,Other,-331.26,expense
49,2025-01-16 14:49:03,Bakery,Food,-77.73,expense
50,2025-01-16 18:19:11,Metro Card Recharge,Travel,-197.64,expense
51,2025-01-17 07:24:58,Medical Consultation,Other,-371.19,expense
52,2025-01-17 16:28:46,Lunch Canteen,Food,-73.47,expense
53,2025-01-18 15:23:16,Zomato Delivery,Food,-143.63,expense
54,2025-01-18 22:01:19,Metro Card Recharge,Travel,-252.68,expense
56,2025-01-19 08:10:38,Bus Pass,Travel,-83.81,expense
55,2025-01-19 19:07:31,Gaming Purchase,Entertainment,-622.9,expense
58,2025-01-20 15:26:32,Grocery Store,Food,-302.88,expense
57,2025-01-20 18:35:09,Restaurant Dinner,Food,-395.57,expense
60,2025-01-21 09:00:36,Books Purchase,Other,-401.27,expense
59,2025-01-21 13:11:33,Freelance Payment,Freelance,5788.02,income
61,2025-01-21 13:40:19,Grocery Store,Food,-264.42,expense
62,2025-01-22 10:25:59,Bus Pass,Travel,-162.14,expense
63,2025-01-22 21:21:27,Petrol Station,Travel,-1718.58,expense
64,2025-01-23 21:45:54,Medical Consultation,Other,-628.05,expense
65,2025-01-23 23:12:57,Restaurant Dinner,Food,-221.74,expense
68,2025-01-24 15:33:35,Medical Consultation,Other,-597.95,expense
66,2025-01-24 18:41:33,Zomato Delivery,Food,-152.96,expense
67,2025-01-24 21:15:15,Medical Consultation,Other,-287.31,expense
69,2025-01-25 12:50:40,Laundry Service,Other,-193.19,expense
70,2025-01-25 17:20:12,Grocery Store,Food,-209.48,expense
71,2025-01-25 21:17:57,Concert Tickets,Entertainment,-1160.02,expense
73,2025-01-26 14:33:16,Street Food,Food,-61.08,expense
72,2025-01-26 17:10:22,Medical Consultation,Other,-567.1,expense
75,2025-01-27 06:01:01,Ola Cab,Travel,-233.46,expense
74,2025-01-27 21:22:20,Swiggy Order,Food,-180.1,expense
76,2025-01-28 07:13:14,Salary Deposit,Salary,59271.61,income
79,2025-01-28 14:45:22,Haircut Salon,Other,-148.5,expense
78,2025-01-28 19:31:27,Cafe Coffee,Food,-58.11,expense
77,2025-01-28 21:42:27,Cafe Coffee,Food,-61.62,expense
80,2025-01-29 14:20:39,Cafe Coffee,Food,-40.23,expense
81,2025-01-29 18:13:28,Lunch Canteen,Food,-116.97,expense
